source,category,qid,type,question,optionA,optionB,optionC,optionD,optionE,optionF,correct,feedback,tags
hlthcr,2. Who Provides Healthcare?,Q-PRV-017,tf,"Under Medicare law, the terms ""provider"" and ""supplier"" mean the same thing.",,,,,,,False,"Medicare law distinguishes between providers (institutional care facilities such as hospitals, hospices, and nursing homes) and suppliers (entities that furnish diagnostic, therapeutic, or equipment services rather than sustained residential care).",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-018,tf,Durable Medical Equipment must have an expected life of at least three years.,,,,,,,True,"DME is equipment that can withstand repeated use and has an expected life of at least three years, among other criteria.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-019,tf,DMEPOS suppliers can enroll in Medicare using the same form that physicians use.,,,,,,,False,"DMEPOS suppliers enroll using form CMS-855S, which is separate from the CMS-855I form used by physicians and non-physician practitioners.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-020,tf,Emergency air ambulance transport by airplane or helicopter can be covered by Medicare when ground ambulance cannot meet the patient's needs.,,,,,,,True,Emergency air ambulance transport by airplane or helicopter is covered by Medicare when immediate transport is needed and ground ambulance cannot provide it.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-021,tf,The Medicare ambulance fee schedule applies only to private ambulance companies.,,,,,,,False,"The Medicare ambulance fee schedule applies to volunteer, municipal, private, and independent ambulance suppliers as well as institutional providers like hospitals.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-022,tf,"Clinical laboratories may only operate as independent, stand-alone facilities.",,,,,,,False,"Clinical laboratories operate in many settings including hospitals, physician offices, pharmacies, ambulatory surgery centers, and as independent labs.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-023,tf,"Providers are required to submit Medicare claims electronically under the Administrative Simplification Compliance Act, unless they qualify for a waiver.",,,,,,,True,Providers are required to submit Medicare claims electronically under ASCA unless they qualify for a waiver.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-024,tf,Paper Medicare enrollment applications process faster than online PECOS applications.,,,,,,,False,"Online PECOS applications process in approximately 30 days, while paper applications take approximately 65 days.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-025,tf,"Medicaid provider enrollment is managed at the federal level by CMS, with no state involvement.",,,,,,,False,Each state administers its own Medicaid provider enrollment process and may impose requirements beyond the federal minimums set by CMS.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-026,tf,HIPAA-covered providers must comply with both the Privacy Rule and the Security Rule.,,,,,,,True,"HIPAA-covered providers must comply with the Privacy Rule and Security Rule, which require safeguards to protect patient health information, training for employees, and contracts with business associates.",HIPAA;basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-027,tf,Most pharmacies are HIPAA-covered entities because they transmit health information electronically.,,,,,,,True,"Most doctors, clinics, hospitals, psychologists, chiropractors, nursing homes, pharmacies, and dentists are HIPAA-covered entities because they transmit health information electronically.",HIPAA;basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-028,tf,A home health agency is classified as a supplier rather than an institutional provider under Medicare.,,,,,,,False,"Home health agencies are institutional providers under Medicare, along with hospitals, critical access hospitals, skilled nursing facilities, and hospices.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-029,tf,DME is generally useful to a person even without an illness or injury.,,,,,,,False,One of the criteria for DME is that it is generally not useful to a person in the absence of illness or injury.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-030,tf,The electronic equivalent of the CMS-1500 claim form is the 837P transaction.,,,,,,,True,"Non-institutional providers and suppliers bill using the CMS-1500 claim form or its electronic equivalent, the 837P transaction.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-031,tf,Nurse practitioners and physician assistants enroll in Medicare using the same form as physicians.,,,,,,,True,Physicians and non-physician practitioners such as nurse practitioners and physician assistants enroll in Medicare using form CMS-855I.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-032,tf,HIPAA-covered providers are not required to have contracts with their business associates.,,,,,,,False,"HIPAA-covered providers must comply with the Privacy Rule and Security Rule, which require contracts with business associates among other safeguards.",HIPAA;basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-033,tf,DME must be appropriate for use in a patient's home.,,,,,,,True,One of the defining criteria for DME is that it is appropriate for use in a patient's home.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-034,tf,A state Medicaid agency may impose enrollment requirements that exceed the federal minimums set by CMS.,,,,,,,True,Each state administers its own Medicaid provider enrollment process and may impose requirements beyond the federal minimums set by CMS.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-035,mc,Which of the following best describes a healthcare provider?,An insurance company that pays claims,A person or place licensed to give healthcare,A government agency that regulates hospitals,A patient who receives medical services,,,B,"A health care provider is a person trained and licensed to give health care, or a place licensed to give health care.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-036,mc,"Under Medicare, which of the following is classified as a ""provider"" rather than a ""supplier""?",A DME company,A hospital,A diagnostic laboratory,A prosthetics manufacturer,,,B,"Medicare law classifies institutional care facilities such as hospitals, hospices, and nursing homes as providers. Entities furnishing equipment or diagnostic services are classified as suppliers.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-037,mc,Which type of care does a physician office primarily provide?,Inpatient surgical care,Long-term residential care,"Outpatient evaluation, diagnosis, and treatment",Emergency trauma services,,,C,"A physician office is a common provider setting where patients receive outpatient evaluation, diagnosis, and treatment from a licensed physician.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-038,mc,Which form do hospitals use to enroll in Medicare?,CMS-855I,CMS-855S,CMS-855A,CMS-1500,,,C,Hospitals are institutional providers that enroll in Medicare using form CMS-855A.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-039,mc,Which of the following is classified as an institutional provider under Medicare?,An independent clinical laboratory,A DME supplier,A home health agency,A physician in private practice,,,C,"Institutional providers include hospitals, critical access hospitals, skilled nursing facilities, home health agencies, and hospices.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-040,mc,Which of the following is NOT one of the criteria for equipment to qualify as Durable Medical Equipment?,It can withstand repeated use,It has an expected life of at least three years,It must be prescribed by a specialist physician,It is appropriate for use in the patient's home,,,C,"DME must withstand repeated use, have a life of at least three years, serve a medical purpose, not be useful without illness or injury, and be appropriate for home use. There is no requirement that it be prescribed by a specialist.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-041,mc,Which of the following is an example of DME?,A stethoscope used by a physician,A hospital bed for home use,A bottle of prescription medication,A bandage applied in a clinic,,,B,"Examples of DME include hospital beds, wheelchairs, ventilators, oxygen equipment, prosthetics, and orthotics.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-042,mc,Orthotics such as back and neck braces fall under which category?,Ancillary services,Durable Medical Equipment,Pharmaceutical supplies,Institutional provider services,,,B,Examples of DME include prosthetics such as artificial limbs and orthotics such as back and neck braces.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-043,mc,How much is the surety bond that a DMEPOS supplier must post per NPI to enroll in Medicare?,"$10,000","$25,000","$50,000","$100,000",,,C,"DMEPOS suppliers must post a $50,000 surety bond per NPI to enroll in Medicare.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-044,mc,Which enrollment form is used specifically by DMEPOS suppliers for Medicare?,CMS-855A,CMS-855I,CMS-855S,CMS-1450,,,C,"DMEPOS suppliers enroll in Medicare using form CMS-855S, which is separate from the forms used by physicians or institutional providers.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-045,mc,What condition must be met for Medicare to cover ambulance transportation?,The patient must be over age 65,The patient must be traveling to an out-of-state hospital,The patient's medical condition must make other transportation contraindicated,The patient must have a referral from a specialist,,,C,Medicare covers ambulance transportation only when the patient's medical condition makes any other means of transportation contraindicated.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-046,mc,When is Medicare air ambulance transport covered?,Whenever the patient requests it,When the destination is more than 50 miles away,When immediate transport is needed and ground ambulance cannot provide it,Only for patients enrolled in Medicare Advantage plans,,,C,Emergency air ambulance transport is covered by Medicare when immediate transport is needed and ground ambulance cannot provide it.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-047,mc,Which of the following ambulance supplier types is covered under the Medicare ambulance fee schedule?,Only private ambulance companies,Only hospital-based ambulance services,"Volunteer, municipal, private, independent, and hospital-based suppliers",Only ambulance services operated by the federal government,,,C,"The Medicare ambulance fee schedule applies to volunteer, municipal, private, and independent ambulance suppliers as well as institutional providers like hospitals.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-048,mc,Which of the following is NOT classified as an ancillary service?,Laboratory tests,Radiology services,Inpatient surgery,Pharmacy services,,,C,"Ancillary services include laboratory tests, radiology, pharmacy services, and other diagnostic or therapeutic services that support primary care. Inpatient surgery is a hospital-based institutional service.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-049,mc,In which of the following settings can a clinical laboratory operate?,Only in hospitals,"Only in independent, stand-alone facilities","In hospitals, physician offices, pharmacies, ambulatory surgery centers, and as independent labs",Only in government-operated facilities,,,C,"Clinical laboratories operate in many settings including hospitals, physician offices, pharmacies, ambulatory surgery centers, and as independent labs.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-050,mc,What is the electronic equivalent of the UB-04 (CMS-1450) institutional claim form?,837P,837I,835,270/271,,,B,Institutional providers use the CMS-1450 (UB-04) form or the 837I electronic transaction.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-051,mc,Which law requires providers to submit Medicare claims electronically?,HIPAA Privacy Rule,Affordable Care Act,Administrative Simplification Compliance Act (ASCA),Emergency Medical Treatment and Labor Act (EMTALA),,,C,Providers are required to submit Medicare claims electronically under the Administrative Simplification Compliance Act (ASCA) unless they qualify for a waiver.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-052,mc,What is PECOS in the context of Medicare enrollment?,A federal payment system for hospital claims,An online provider enrollment system,A quality rating program for nursing homes,A prescription drug monitoring database,,,B,"To enroll in Medicare, a provider completes an application through PECOS, the online enrollment system.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-053,mc,What role does the Medicare Administrative Contractor (MAC) play in provider enrollment?,It issues the provider's medical license,It processes the provider's enrollment application after PECOS submission,It assigns the provider's specialty designation,It conducts the provider's accreditation survey,,,B,"The Medicare enrollment process involves obtaining an NPI, completing a PECOS application, and then working with the regional MAC, which processes the application.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-054,mc,How many digits are in a National Provider Identifier (NPI)?,6,8,10,12,,,C,The NPI is a standard 10-digit number used to identify a provider across all health transactions.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-055,mc,The NPI is used to identify a provider across which transactions?,Only Medicare billing transactions,Only Medicaid eligibility transactions,All health transactions,Only electronic pharmacy transactions,,,C,The NPI is a standard 10-digit number used to identify the provider across all health transactions.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-056,mc,Approximately how long does a paper Medicare enrollment application take to process?,14 days,30 days,65 days,120 days,,,C,"Paper Medicare enrollment applications take approximately 65 days to process, compared to about 30 days for online PECOS applications.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-057,mc,Who administers the Medicaid provider enrollment process?,"CMS directly, at the federal level",Each state individually,The Joint Commission,Medicare Administrative Contractors,,,B,Each state administers its own Medicaid provider enrollment process and may impose requirements beyond the federal minimums.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-058,mc,What must a state Medicaid agency confirm about a provider's license before enrollment?,That the license was issued within the last two years,That the license is from the same state as the Medicaid program,That the license is unrestricted,That the license includes a specialty certification,,,C,State Medicaid agencies must verify that a provider holds an unrestricted license before approving enrollment.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-059,mc,Which of the following triggers a healthcare provider's status as a HIPAA-covered entity?,Having more than 50 employees,Accepting patients with private insurance,Transmitting health information electronically in connection with certain transactions,Operating in more than one state,,,C,"Under HIPAA, a health care provider becomes a covered entity when it transmits health information electronically in connection with certain transactions such as claims billing.",HIPAA;basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-060,mc,Which HIPAA rule specifically requires safeguards to protect patient health information?,The Enforcement Rule,The Breach Notification Rule,The Privacy Rule and Security Rule,The Transactions Rule,,,C,"HIPAA-covered providers must comply with the Privacy Rule and Security Rule, which require safeguards to protect patient health information.",HIPAA;basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-061,mc,HIPAA requires covered providers to train which group on protecting patient health information?,Only physicians,Only IT staff,Employees,Only billing department staff,,,C,HIPAA-covered providers must comply with rules that require training for employees on protecting patient health information.,HIPAA;basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-062,mc,Which of the following healthcare entities is typically a HIPAA-covered entity?,A health food store,A fitness center,A dentist's office,A medical textbook publisher,,,C,"Most doctors, clinics, hospitals, psychologists, chiropractors, nursing homes, pharmacies, and dentists are HIPAA-covered entities because they transmit health information electronically.",HIPAA;basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-063,mc,Which of the following is a critical access hospital classified as under Medicare?,A supplier,An ancillary service,An institutional provider,A non-institutional provider,,,C,"Institutional providers include hospitals, critical access hospitals, skilled nursing facilities, home health agencies, and hospices.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-064,mc,Which of the following correctly matches the enrollment form to the provider type?,CMS-855A for physicians,CMS-855I for hospitals,CMS-855S for DMEPOS suppliers,CMS-855S for hospices,,,C,"DMEPOS suppliers enroll using CMS-855S. Physicians use CMS-855I, and institutional providers like hospitals and hospices use CMS-855A.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-065,mc,Which of the following is an example of a prosthetic device classified as DME?,A hearing aid battery,An artificial limb,A surgical scalpel,A disposable syringe,,,B,"Examples of DME include prosthetics such as artificial limbs, as well as orthotics, wheelchairs, hospital beds, and ventilators.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-066,mc,What type of organization must accredit a DMEPOS supplier before it can enroll in Medicare?,A state licensing board,A CMS-approved accreditation organization,The Joint Commission exclusively,The provider's regional MAC,,,B,DMEPOS suppliers must obtain accreditation from a CMS-approved organization to enroll in Medicare.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-067,mc,DME must serve what kind of purpose to qualify?,A cosmetic purpose,A recreational purpose,A medical purpose,An occupational purpose,,,C,One of the defining criteria for DME is that it serves a medical purpose.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-068,mc,Which of the following is an example of oxygen equipment classified as DME?,An oxygen concentrator for home use,An oxygen tank used during surgery,An air purifier for a waiting room,A nebulizer medication refill,,,A,"Examples of DME include oxygen equipment, which is prescribed for home use by patients with respiratory conditions.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-069,mc,A skilled nursing facility is classified as which type of provider under Medicare?,A supplier,A non-institutional provider,An ancillary service provider,An institutional provider,,,D,"Institutional providers include hospitals, critical access hospitals, skilled nursing facilities, home health agencies, and hospices.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-070,mc,Which claim form is used by institutional providers like hospitals to bill Medicare?,CMS-1500,CMS-1450 (UB-04),CMS-855A,837P,,,B,Institutional providers use the CMS-1450 form (UB-04) or the 837I electronic transaction to bill Medicare.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-071,mc,Which of the following provider types bills using the 837P electronic transaction?,A hospital,A skilled nursing facility,A physician office,A hospice,,,C,"Non-institutional providers and suppliers bill using the CMS-1500 or its electronic equivalent, the 837P transaction. Physician offices are non-institutional providers.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-072,mc,Under which circumstance might a provider be exempt from electronic Medicare claims submission?,If the provider is located in a rural area,If the provider qualifies for a waiver under ASCA,If the provider has fewer than 10 employees,If the provider only treats Medicare Advantage patients,,,B,Providers are required to submit Medicare claims electronically under ASCA unless they qualify for a waiver.,basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-073,mc,What is the correct order of steps in the Medicare provider enrollment process?,"Apply through PECOS, obtain NPI, contact MAC","Contact MAC, obtain NPI, apply through PECOS","Obtain NPI, apply through PECOS, work with MAC","Obtain NPI, contact MAC, apply through PECOS",,,C,"To enroll in Medicare, a provider must first obtain an NPI, then complete an application through PECOS, and finally work with their regional MAC.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-074,mc,Which type of provider furnishes sustained residential care under Medicare law?,A supplier,A provider (institutional),A clearinghouse,A business associate,,,B,"Medicare law defines providers as institutional care facilities such as hospitals, hospices, and nursing homes that furnish sustained residential care.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-075,mc,Which of the following services does a physician office NOT typically provide?,Outpatient diagnosis,Outpatient treatment,Inpatient overnight care,Patient evaluation,,,C,"A physician office is a setting for outpatient evaluation, diagnosis, and treatment. Inpatient overnight care is provided by hospitals and similar institutional facilities.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-076,mc,Which of the following is a ventilator classified as?,An ancillary service,A pharmaceutical product,Durable Medical Equipment,An institutional service,,,C,"Examples of DME include ventilators, along with hospital beds, wheelchairs, oxygen equipment, prosthetics, and orthotics.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-077,mc,Radiology services are classified under which category of healthcare services?,Institutional provider services,Durable Medical Equipment,Ancillary services,Transportation services,,,C,"Ancillary services include laboratory tests, radiology, pharmacy services, and other diagnostic or therapeutic services that support primary care.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-078,mc,Which of the following professionals is NOT specifically listed as a typical HIPAA-covered entity?,Chiropractor,Psychologist,Personal fitness trainer,Dentist,,,C,"Typical HIPAA-covered entities include doctors, clinics, hospitals, psychologists, chiropractors, nursing homes, pharmacies, and dentists. A personal fitness trainer is not a healthcare provider.",HIPAA;basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-079,mc,What is the relationship between the CMS-1500 and the 837P?,The CMS-1500 replaced the 837P,The 837P is the electronic equivalent of the CMS-1500,They are used by different provider types,The CMS-1500 is used for institutional claims and the 837P for professional claims,,,B,"Non-institutional providers bill using the CMS-1500 claim form or its electronic equivalent, the 837P transaction.",basic
hlthcr,2. Who Provides Healthcare?,Q-PRV-080,mc,A business associate agreement is required under HIPAA between a covered provider and which party?,The patient,The state licensing board,A business associate that handles health information on the provider's behalf,The provider's landlord,,,C,HIPAA-covered providers must have contracts with business associates — entities that handle protected health information on the provider's behalf.,HIPAA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-001,tf,A dependent is a family member covered under the subscriber's health insurance plan.,,,,,,,True,"A dependent is indeed a family member — such as a spouse, child, or domestic partner — covered under the subscriber's plan rather than holding their own policy.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-002,tf,"Under the Affordable Care Act, children can remain on a parent's health plan until they reach age 30.",,,,,,,False,"Under the ACA, children can remain on a parent's plan until age 26, not age 30, regardless of marital status.",ACA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-003,tf,A covered entity must respond to a patient's request to access their health records within 30 days.,,,,,,,True,"Under the HIPAA Privacy Rule, a covered entity must respond to a patient's access request within 30 days of receiving it.",HIPAA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-004,tf,"Informed consent can never be waived, even in a life-threatening emergency.",,,,,,,False,Informed consent may be waived in life-threatening emergencies when there is not enough time to obtain consent and no authorized decision-maker is available.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-005,tf,An Explanation of Benefits (EOB) is a bill that the patient must pay immediately.,,,,,,,False,"An EOB is not a bill. It is a summary from the health plan showing what was billed, what the plan paid, and what the patient owes.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-006,mc,Who is the subscriber on a health insurance plan?,A family member covered under someone else's plan,The primary individual who enrolls in and holds the insurance contract,The insurance company that issues the policy,The employer who sponsors the group plan,,,B,The subscriber (also called the policyholder) is the primary individual who enrolls in and holds the health insurance contract with the insurance carrier.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-007,mc,What is the annual period during which anyone can enroll in or change a Health Insurance Marketplace plan?,Special Enrollment Period,Qualifying Life Event window,Open Enrollment,Grace Period,,,C,"Open Enrollment is the annual period when anyone can enroll in, renew, or change a Marketplace plan.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-008,mc,Which of the following is a qualifying life event that triggers a Special Enrollment Period?,Receiving a raise at work,Turning 30 years old,Getting married,Changing your primary care doctor,,,C,Getting married is a qualifying life event that allows a person to enroll in or change a Marketplace plan during a Special Enrollment Period.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-009,mc,"Under HIPAA, which right allows patients to request corrections to their health records?",Right to access,Right to amendment,Right to complaint,Right to portability,,,B,Patients have the right to request amendments (corrections) to their health records if they believe the information is inaccurate or incomplete.,HIPAA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-010,mc,"If a patient believes their HIPAA privacy rights have been violated, where can they file a complaint?",The state governor's office,The Federal Trade Commission (FTC),The U.S. Department of Health and Human Services (HHS),The local police department,,,C,Patients have the right to file a complaint with the U.S. Department of Health and Human Services (HHS) if they believe their HIPAA privacy rights have been violated.,HIPAA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-011,mc,What is informed consent?,A form that assigns payment to the provider,A billing agreement between the patient and the insurance company,"A process in which a clinician explains the risks, benefits, and alternatives of a proposed treatment so the patient can make a voluntary decision",A notice that describes how the provider will use patient health information,,,C,"Informed consent is a communication process in which a clinician explains the risks, benefits, and alternatives of a proposed procedure or treatment so the patient can make a voluntary, informed decision.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-012,mc,What is the term for the amount a patient pays each month to maintain health insurance coverage?,Deductible,Copayment,Premium,Coinsurance,,,C,"A premium is the amount a patient pays — usually monthly — to maintain health insurance coverage, regardless of whether they use medical services.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-013,mc,"A patient pays 20% of a covered service's cost after meeting the deductible, while the plan pays 80%. What is the patient's 20% share called?",Copayment,Deductible,Premium,Coinsurance,,,D,Coinsurance is the percentage of a covered service's cost that the patient pays after meeting the deductible.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-014,mc,What happens when a patient reaches their out-of-pocket maximum for the plan year?,The patient's coverage is terminated,The patient must pay a higher coinsurance rate,The health plan pays 100% of covered costs for the remainder of the year,The deductible resets to zero,,,C,"Once a patient reaches the out-of-pocket maximum, the health plan pays 100% of covered costs for the remainder of the plan year.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-015,mc,Why is patient engagement important in healthcare?,It allows patients to bill their own insurance claims,It reduces the need for health insurance coverage,Higher patient engagement is associated with better health outcomes and lower costs,It transfers clinical decision-making from providers to patients,,,C,Research shows that higher patient activation and engagement is associated with better health outcomes and lower costs.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-016,tf,The subscriber is also known as the policyholder on a health insurance plan.,,,,,,,True,The subscriber and the policyholder are the same person — the primary individual who enrolls in and holds the health insurance contract.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-017,tf,A dependent must be employed by the same company as the subscriber to receive coverage.,,,,,,,False,"A dependent is a family member — such as a spouse, child, or domestic partner — covered under the subscriber's plan. Employment at the same company is not required.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-018,tf,"Under the ACA, a child's marital status does not affect their ability to stay on a parent's health plan until age 26.",,,,,,,True,The ACA requires health plans to allow children to remain on a parent's plan until age 26 regardless of marital status.,ACA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-019,tf,"Outside of Open Enrollment, a person can enroll in a Marketplace plan at any time for any reason.",,,,,,,False,"Outside of Open Enrollment, a person can only enroll in or change a Marketplace plan if they experience a qualifying life event that triggers a Special Enrollment Period.",ACA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-020,tf,Most Special Enrollment Periods give a person 60 days to select a new health plan after a qualifying life event.,,,,,,,True,Most SEPs provide a 60-day window before or after the qualifying life event to enroll in or change a health plan.,ACA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-021,tf,A provider may charge a patient a fee for searching for and retrieving their health records.,,,,,,,False,"A provider may charge a reasonable fee for copying and mailing health records, but cannot charge for searching for or retrieving them.",HIPAA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-022,tf,"A patient can direct a covered entity to send their health information to a third party, such as another doctor.",,,,,,,True,"Under HIPAA, patients have the right to direct a covered entity to send a copy of their health information to a designated third party.",HIPAA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-023,tf,The Notice of Privacy Practices is a bill sent to the patient after each doctor visit.,,,,,,,False,The Notice of Privacy Practices is a plain-language document explaining how a covered entity may use and disclose the patient's health information. It is not a bill.,HIPAA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-024,tf,"For children who cannot consent on their own, a parent or legal guardian provides informed consent for medical treatment.",,,,,,,True,"Competent adults consent for themselves, while a parent or legal guardian provides informed consent on behalf of a child.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-025,tf,A deductible is a fixed dollar amount paid at the time of each doctor visit.,,,,,,,False,A fixed dollar amount paid at the time of a visit is a copayment. A deductible is the total amount a patient must pay out of pocket each year before the plan begins to pay its share.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-026,tf,Premiums must be paid regardless of whether the patient uses any medical services during that period.,,,,,,,True,"A premium is paid — usually monthly — to maintain health insurance coverage, whether or not the patient sees a doctor or uses any services.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-027,tf,"After reaching the out-of-pocket maximum, the patient continues to pay coinsurance for covered services.",,,,,,,False,"Once the out-of-pocket maximum is reached, the health plan pays 100% of covered costs for the remainder of the plan year. The patient no longer pays coinsurance, copays, or deductible amounts.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-028,tf,Patients should compare their Explanation of Benefits with the provider's bill before making a payment.,,,,,,,True,Patients should compare the EOB from their health plan with the bill from the provider to confirm that services and amounts match before paying.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-029,tf,Higher patient activation is associated with better health outcomes and lower costs.,,,,,,,True,"Research shows that patients who are more knowledgeable, skilled, and confident in managing their care tend to have better outcomes and incur lower healthcare costs.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-030,tf,Eligibility for employer-sponsored health insurance and Marketplace coverage is determined by the same set of rules.,,,,,,,False,"Employer-sponsored coverage eligibility is determined by the employer's plan rules, while Marketplace eligibility depends on factors such as income, household size, and residency.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-031,tf,"Under HIPAA, patients have a legal, enforceable right to access their protected health information held by covered entities.",,,,,,,True,"The HIPAA Privacy Rule gives patients a legal and enforceable right to access and obtain copies of their PHI from covered entities such as doctors, hospitals, and health plans.",HIPAA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-032,tf,"Any adult, regardless of mental competency, can give valid informed consent for medical treatment.",,,,,,,False,Only competent adults — those who can understand the information and make a voluntary decision — can give valid informed consent. Adults who lack competency rely on an authorized decision-maker.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-033,tf,A copayment amount varies based on the total cost of the medical service.,,,,,,,False,A copayment is a fixed dollar amount — for example $25 — that does not change based on the total cost of the service. The amount that varies with service cost is coinsurance.,basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-034,tf,Having a baby is a qualifying life event that can trigger a Special Enrollment Period.,,,,,,,True,"Having a baby is one of the qualifying life events — along with getting married, losing coverage, or moving — that triggers a Special Enrollment Period.",ACA;basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-035,mc,Which term best describes a spouse or child covered under someone else's health insurance plan?,Subscriber,Policyholder,Dependent,Beneficiary,,,C,"A dependent is a family member — such as a spouse, child, or domestic partner — who is covered under the subscriber's plan.",basic
hlthcr,3. Who Receives Healthcare?,Q-PAT-036,mc,Until what age can children remain on a parent's health plan under the Affordable Care Act?,21,24,26,30,,,C,The ACA requires health plans that offer dependent coverage to allow children to stay on a parent's plan until age 26.,ACA;basic
